date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:48	106983/106983	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/search?updated-max=2021-06-28T08:09:00-07:00&max-results=7&start=7&by-date=false	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/search509c.html	(from https://brunoperettiblog.blogspot.com/search?updated-max=2021-06-28T08:16:00-07:00&max-results=7)
12:22:48	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/9172954827649617964/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/9172954827649617964/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/lembre-se-antes-de-iniciar-as.html)
12:22:50	942892/942892	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jul%202020%2021:27:03%20GMT	https://brunoperetti.com.br/wp-content/uploads/2020/07/Por-que-ter-um-personal-trainer.png	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2020/07/Por-que-ter-um-personal-trainer.png	(from https://brunoperettiblog.blogspot.com/2021/06/por-que-ter-um-personal-trainer.html)
12:22:50	34158/34158	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2012:41:32%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/blood-pressure-1006791_640.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/blood-pressure-1006791_640.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/lembre-se-antes-de-iniciar-as.html)
12:22:50	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/6490123385868337827/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/6490123385868337827/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/alimentos-funcionais-no-brasil-21082017.html)
12:22:50	71127/71127	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2012:41:32%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/apple-2391_960_720.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/apple-2391_960_720.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/alimentos-funcionais-no-brasil-21082017.html)
12:22:51	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/1339583964761091329/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/1339583964761091329/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/alimentacao-funcional-e-emagrecimento.html)
12:22:52	22504/22504	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2012:41:32%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/alimentos_funcionais.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/alimentos_funcionais.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/alimentacao-funcional-e-emagrecimento.html)
12:22:53	1358/1358	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/697474586414839608/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/697474586414839608/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/conheca-o-beneficio-de-alguns-alimentos.html)
12:22:54	133546/133546	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2012:41:32%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/chilli-2371498_960_720.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/chilli-2371498_960_720.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/conheca-o-beneficio-de-alguns-alimentos.html)
12:22:54	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/5414340989913522909/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/5414340989913522909/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/alimentacao-funcional-voce-sabe-o-que-e.html)
12:22:55	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/6320929063034985629/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/6320929063034985629/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/depressao-e-exercicio-fisico-21082017.html)
12:22:55	260917/260917	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2012:41:32%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/nutricao.png	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/nutricao.png	(from https://brunoperettiblog.blogspot.com/2021/06/alimentacao-funcional-voce-sabe-o-que-e.html)
12:22:56	8759/8759	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2000:01:01%20GMT	https://brunoperetti.com.br/wp-content/uploads/2017/08/download-1-300x111.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2017/08/download-1-300x111.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/depressao-e-exercicio-fisico-21082017.html)
12:22:57	366423/366423	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jul%202020%2021:26:48%20GMT	https://brunoperetti.com.br/wp-content/uploads/2020/07/Depress%c3%a3o-e-atividade-f%c3%adsica.png	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2020/07/Depress%c3%a3o-e-atividade-f%c3%adsica.png	(from https://brunoperettiblog.blogspot.com/2021/06/depressao-e-exercicio-fisico-21082017.html)
